year;Process/Storage;Direction;Commodity;ratio;ratio-min;source
2070_old;Hydro_Large;In;Hydro_Large;1;1;unclear
2070_old;Hydro_Large;Out;Elec;1;1;unclear
2070_old;Hydro_Small;In;Hydro_Small;1;1;unclear
2070_old;Hydro_Small;Out;Elec;1;1;unclear
2070_old;Lignite;In;Lignite;2,13;2,98;unclear
2070_old;Lignite;Out;CO2;0,91;0,91;unclear
2070_old;Lignite;Out;Elec;1;1;unclear
2070_old;Liquid biofuels;In;Liquid biofuels;3,33;4,66;unclear
2070_old;Liquid biofuels;Out;Elec;1;1;unclear
2070_old;Nuclear;In;Uranium;2,63;3,68;unclear
2070_old;Nuclear;Out;Elec;1;1;unclear
2070_old;Oil;In;Oil;3,33;4,66;unclear
2070_old;Oil;Out;CO2;1;1;unclear
2070_old;Oil;Out;Elec;1;1;unclear
2070_old;OilOther;In;Oil;3,33;4,66;unclear
2070_old;OilOther;Out;CO2;1;1;unclear
2070_old;OilOther;Out;Elec;1;1;unclear
2070_old;Shunt;In;Elec;1;1;unclear
2070_old;Slack;In;Slack;1;1;unclear
2070_old;Slack;Out;Elec;1;1;unclear
2070_old;Solar;In;Solar;1;1;unclear
2070_old;Solar;Out;Elec;1;1;unclear
2070_old;Tidal;In;Tidal;1;1;unclear
2070_old;Tidal;Out;Elec;1;1;unclear
2070_old;Waste;In;Waste;2,38;2,38;unclear
2070_old;Waste;Out;CO2;1,1;1,1;unclear
2070_old;Waste;Out;Elec;1;1;unclear
2070_old;WindOff;In;WindOff;1;1;unclear
2070_old;WindOff;Out;Elec;1;1;unclear
2070_old;WindOn;In;WindOn;1;1;unclear
2070_old;WindOn;Out;Elec;1;1;unclear
2080_old;Biogas;In;Biogas;1,54;2,16;unclear
2080_old;Biogas;Out;CO2;0,27;0,27;unclear
2080_old;Biogas;Out;Elec;1;1;unclear
2080_old;Biomass;In;Biomass;2,63;3,68;unclear
2080_old;Biomass;Out;Elec;1;1;unclear
2080_old;Coal;In;Coal;2,08;2,91;unclear
2080_old;Coal;Out;CO2;0,84;0,84;unclear
2080_old;Coal;Out;Elec;1;1;unclear
2080_old;Gas;In;Gas;1,54;2,16;unclear
2080_old;Gas;Out;CO2;0,27;0,27;unclear
2080_old;Gas;Out;Elec;1;1;unclear
2080_old;Geothermal;In;Geothermal;7,35;7,35;unclear
2080_old;Geothermal;Out;Elec;1;1;unclear
2080_old;Hydro_Large;In;Hydro_Large;1;1;unclear
2080_old;Hydro_Large;Out;Elec;1;1;unclear
2080_old;Hydro_Small;In;Hydro_Small;1;1;unclear
2080_old;Hydro_Small;Out;Elec;1;1;unclear
2080_old;Lignite;In;Lignite;2,13;2,98;unclear
2080_old;Lignite;Out;CO2;0,91;0,91;unclear
2080_old;Lignite;Out;Elec;1;1;unclear
2080_old;Liquid biofuels;In;Liquid biofuels;3,33;4,66;unclear
2080_old;Liquid biofuels;Out;Elec;1;1;unclear
2080_old;Nuclear;In;Uranium;2,63;3,68;unclear
2080_old;Nuclear;Out;Elec;1;1;unclear
2080_old;Oil;In;Oil;3,33;4,66;unclear
2080_old;Oil;Out;CO2;1;1;unclear
2080_old;Oil;Out;Elec;1;1;unclear
2080_old;OilOther;In;Oil;3,33;4,66;unclear
2080_old;OilOther;Out;CO2;1;1;unclear
2080_old;OilOther;Out;Elec;1;1;unclear
2080_old;Shunt;In;Elec;1;1;unclear
2080_old;Slack;In;Slack;1;1;unclear
2080_old;Slack;Out;Elec;1;1;unclear
2080_old;Solar;In;Solar;1;1;unclear
2080_old;Solar;Out;Elec;1;1;unclear
2080_old;Tidal;In;Tidal;1;1;unclear
2080_old;Tidal;Out;Elec;1;1;unclear
2080_old;Waste;In;Waste;2,38;2,38;unclear
2080_old;Waste;Out;CO2;1,1;1,1;unclear
2080_old;Waste;Out;Elec;1;1;unclear
2080_old;WindOff;In;WindOff;1;1;unclear
2080_old;WindOff;Out;Elec;1;1;unclear
2080_old;WindOn;In;WindOn;1;1;unclear
2080_old;WindOn;Out;Elec;1;1;unclear
2090_old;Biogas;In;Biogas;1,52;2,13;unclear
2090_old;Biogas;Out;CO2;0,26;0,26;unclear
2090_old;Biogas;Out;Elec;1;1;unclear
2090_old;Biomass;In;Biomass;2,63;3,68;unclear
2090_old;Biomass;Out;Elec;1;1;unclear
2090_old;Coal;In;Coal;2,08;2,91;unclear
2090_old;Coal;Out;CO2;0,84;0,84;unclear
2090_old;Coal;Out;Elec;1;1;unclear
2090_old;Gas;In;Gas;1,52;2,13;unclear
2090_old;Gas;Out;CO2;0,26;0,26;unclear
2090_old;Gas;Out;Elec;1;1;unclear
2090_old;Geothermal;In;Geothermal;7,2;7,2;unclear
2090_old;Geothermal;Out;Elec;1;1;unclear
2090_old;Hydro_Large;In;Hydro_Large;1;1;unclear
2090_old;Hydro_Large;Out;Elec;1;1;unclear
2090_old;Hydro_Small;In;Hydro_Small;1;1;unclear
2090_old;Hydro_Small;Out;Elec;1;1;unclear
2090_old;Lignite;In;Lignite;2,13;2,98;unclear
2090_old;Lignite;Out;CO2;0,91;0,91;unclear
2090_old;Lignite;Out;Elec;1;1;unclear
2090_old;Liquid biofuels;In;Liquid biofuels;3,33;4,66;unclear
2090_old;Liquid biofuels;Out;Elec;1;1;unclear
2090_old;Nuclear;In;Uranium;2,63;3,68;unclear
2090_old;Nuclear;Out;Elec;1;1;unclear
2090_old;Oil;In;Oil;3,33;4,66;unclear
2090_old;Oil;Out;CO2;1;1;unclear
2090_old;Oil;Out;Elec;1;1;unclear
2090_old;OilOther;In;Oil;3,33;4,66;unclear
2090_old;OilOther;Out;CO2;1;1;unclear
2090_old;OilOther;Out;Elec;1;1;unclear
2090_old;Shunt;In;Elec;1;1;unclear
2090_old;Slack;In;Slack;1;1;unclear
2090_old;Slack;Out;Elec;1;1;unclear
2090_old;Solar;In;Solar;1;1;unclear
2090_old;Solar;Out;Elec;1;1;unclear
2090_old;Tidal;In;Tidal;1;1;unclear
2090_old;Tidal;Out;Elec;1;1;unclear
2090_old;Waste;In;Waste;2,38;2,38;unclear
2090_old;Waste;Out;CO2;1,1;1,1;unclear
2090_old;Waste;Out;Elec;1;1;unclear
2090_old;WindOff;In;WindOff;1;1;unclear
2090_old;WindOff;Out;Elec;1;1;unclear
2090_old;WindOn;In;WindOn;1;1;unclear
2090_old;WindOn;Out;Elec;1;1;unclear
2100_old;Biogas;In;Biogas;1,5;2,1;unclear
2100_old;Biogas;Out;CO2;0,25;0,25;unclear
2100_old;Biogas;Out;Elec;1;1;unclear
2100_old;Biomass;In;Biomass;2,63;3,68;unclear
2100_old;Biomass;Out;Elec;1;1;unclear
2100_old;Coal;In;Coal;2,08;2,91;unclear
2100_old;Coal;Out;CO2;0,84;0,84;unclear
2100_old;Coal;Out;Elec;1;1;unclear
2100_old;Gas;In;Gas;1,5;2,1;unclear
2100_old;Gas;Out;CO2;0,25;0,25;unclear
2100_old;Gas;Out;Elec;1;1;unclear
2100_old;Geothermal;In;Geothermal;7,04;7,04;unclear
2100_old;Geothermal;Out;Elec;1;1;unclear
2100_old;Hydro_Large;In;Hydro_Large;1;1;unclear
2100_old;Hydro_Large;Out;Elec;1;1;unclear
2100_old;Hydro_Small;In;Hydro_Small;1;1;unclear
2100_old;Hydro_Small;Out;Elec;1;1;unclear
2100_old;Lignite;In;Lignite;2,13;2,98;unclear
2100_old;Lignite;Out;CO2;0,91;0,91;unclear
2100_old;Lignite;Out;Elec;1;1;unclear
2100_old;Liquid biofuels;In;Liquid biofuels;3,33;4,66;unclear
2100_old;Liquid biofuels;Out;Elec;1;1;unclear
2100_old;Nuclear;In;Uranium;2,63;3,68;unclear
2100_old;Nuclear;Out;Elec;1;1;unclear
2100_old;Oil;In;Oil;3,33;4,66;unclear
2100_old;Oil;Out;CO2;1;1;unclear
2100_old;Oil;Out;Elec;1;1;unclear
2100_old;OilOther;In;Oil;3,33;4,66;unclear
2100_old;OilOther;Out;CO2;1;1;unclear
2100_old;OilOther;Out;Elec;1;1;unclear
2100_old;Shunt;In;Elec;1;1;unclear
2100_old;Slack;In;Slack;1;1;unclear
2100_old;Slack;Out;Elec;1;1;unclear
2100_old;Solar;In;Solar;1;1;unclear
2100_old;Solar;Out;Elec;1;1;unclear
2100_old;Tidal;In;Tidal;1;1;unclear
2100_old;Tidal;Out;Elec;1;1;unclear
2100_old;Waste;In;Waste;2,38;2,38;unclear
2100_old;Waste;Out;CO2;1,1;1,1;unclear
2100_old;Waste;Out;Elec;1;1;unclear
2100_old;WindOff;In;WindOff;1;1;unclear
2100_old;WindOff;Out;Elec;1;1;unclear
2100_old;WindOn;In;WindOn;1;1;unclear
2100_old;WindOn;Out;Elec;1;1;unclear
